Name,TemplateId,BoxCount,Keywords,URL,Weight,Height,CaptionLength
Drake Hotline Bling,181913649,2,"prefer, better, choice, vs, versus, comparison, approve, reject, like, dislike, option, instead, rather",https://i.imgflip.com/30b1gx.jpg,1200,1200,1483000
Two Buttons,87743020,3,"decision, choose, dilemma, panic, stress, difficult, hard, nervous, sweat, struggle, torn, confused, can't decide",https://i.imgflip.com/1g8my4.jpg,600,908,1156750
Distracted Boyfriend,112126428,3,"distracted, tempted, attracted, looking, want, ignore, new, switch, change, leave, curious, interested, desire",https://i.imgflip.com/1ur9b0.jpg,1200,800,1152500
Bernie I Am Once Again Asking For Your Support,222403160,2,"asking, request, again, repeated, once more, please, need, begging, support, help, favor",https://i.imgflip.com/3oevdk.jpg,750,750,337000
Running Away Balloon,131087935,5,"priorities, chasing, running, ignore, focus, distracted, wrong, missed, opportunity, escaping",https://i.imgflip.com/261o3j.jpg,761,1024,594250
Left Exit 12 Off Ramp,124822590,3,"exit, choice, turn, direction, path, decision, swerve, alternative, route, change course",https://i.imgflip.com/22bdq6.jpg,804,767,716500
UNO Draw 25 Cards,217743513,2,"avoid, refuse, rather, instead, won't, never, choose, alternative, reject, punishment",https://i.imgflip.com/3lmzyx.jpg,500,494,627500
Disaster Girl,97984,2,"chaos, fire, disaster, evil, destruction, burn, smile, watching, mess, catastrophe, fine, enjoy",https://i.imgflip.com/23ls.jpg,500,375,418000
Epic Handshake,135256802,3,"agreement, common, both, agree, unity, together, alliance, shared, mutual, teamwork",https://i.imgflip.com/28j0te.jpg,900,645,252750
Gru's Plan,131940431,4,"plan, backfire, realize, wait, unexpected, surprise, mistake, wrong, oops, plot",https://i.imgflip.com/26jxvz.jpg,700,449,361750
Waiting Skeleton,4087833,2,"waiting, forever, still, never, long time, patience, delayed, slow, eventually, expecting",https://i.imgflip.com/2fm6x.jpg,298,403,477250
Sad Pablo Escobar,80707627,3,"sad, lonely, depressed, alone, thinking, nostalgia, miss, reminisce, reflection, melancholy",https://i.imgflip.com/1c1uej.jpg,720,709,245750
Always Has Been,252600902,2,"always, realization, discover, truth, reveal, shocking, fact, entire time, astronaut, gun",https://i.imgflip.com/46e43q.png,960,540,222250
Change My Mind,129242436,2,"opinion, fact, truth, prove, debate, argument, convince, belief, statement, claim, unpopular",https://i.imgflip.com/24y43o.jpg,482,361,666250
